Unique_ID,"Street address, City, State, Zip",Match Status,,,,Long,Lat,,,,,,
6141955,"759 Chestnut St, Springfield, MA, 1199",Match,Non_Exact,"759 CHESTNUT ST, SPRINGFIELD, MA, 01107","-72.604094352769,42.119023347188",-72.60409435,42.11902335,4062052,R,25,13,800500,3006
6710335,"9601 Baptist Health Dr, Little Rock, AR, 72205",No_Match,,,,-92.3810036,34.743831,,,,,,
6215150,"100 Woods Rd, Valhalla, NY, 10595",Match,Exact,"100 WOODS RD, VALHALLA, NY, 10595","-73.80345058822,41.085906518146",-73.80345059,41.08590652,613718130,L,36,119,981000,1016
6380775,"677 Church St, Marietta, GA, 30060",Match,Non_Exact,"677 CHURCH ST NE, MARIETTA, GA, 30060","-84.550305519637,33.968680879658",-84.55030552,33.96868088,17175818,L,13,67,30602,3031
6220740,"1945 Route 33, Neptune, NJ, 7754",Match,Non_Exact,"1945 STATE RTE 33, NEPTUNE, NJ, 07753","-74.038288554139,40.207880241747",-74.03828855,40.20788024,657282924,R,34,25,807700,3003
6410030,"525 E Market St, Akron, OH, 44309",Match,Non_Exact,"525 E MARKET ST, AKRON, OH, 44308","-81.501259153272,41.078902895357",-81.50125915,41.0789029,61349934,L,39,153,508900,4008
6421290,"615 N Michigan St, South Bend, IN, 46601",Match,Exact,"615 N MICHIGAN ST, SOUTH BEND, IN, 46601","-86.250585503207,41.683985289669",-86.2505855,41.68398529,8080004,L,18,141,700,2018
6630330,"100 Mercy Way, Joplin, MO, 64804",No_Match,,,,-94.5098384,37.0365178,,,,,,
6370610,"101 E Wood St, Spartanburg, SC, 29303",Match,Exact,"101 E WOOD ST, SPARTANBURG, SC, 29303","-81.935868620607,34.968051985265",-81.93586862,34.96805199,19467975,R,45,83,20301,2013
6720020,"211 Fourth St, Alexandria, LA, 71301",Match,Exact,"211 4TH ST, ALEXANDRIA, LA, 71301","-92.450148495431,31.314864922194",-92.4501485,31.31486492,11781561,L,22,79,13900,1034
6932810,"4077 5th Ave, San Diego, CA, 92103",Match,Exact,"4077 5TH AVE, SAN DIEGO, CA, 92103","-117.161068318309,32.751295530612",-117.1610683,32.75129553,638575178,R,6,73,400,4000
6330030,"111 Michigan Ave, Washington, DC, 20010",Match,Non_Exact,"111 MICHIGAN AVE NW, WASHINGTON, DC, 20010","-77.01246633165,38.926327503583",-77.01246633,38.9263275,76237484,R,11,1,2302,1003
6860325,"19829 North 27th Ave, Phoenix, AZ, 85027",Match,Exact,"19829 N 27TH AVE, PHOENIX, AZ, 85027","-112.117172090931,33.665998315487",-112.1171721,33.66599832,650135745,L,4,13,616400,3006
6720028,"5000 Hennessy Blvd, Baton Rouge, LA, 70808",No_Match,,,,-91.1062235,30.4037402,,,,,,
6640020,"300 North 7th St, Bismarck, ND, 58501",Match,Exact,"300 N 7TH ST, BISMARCK, ND, 58501","-100.781648243664,46.806959418826",-100.7816482,46.80695942,198848577,L,38,15,10100,4019
6410391,"3333 Burnet Ave, Cincinnati, OH, 45229",Match,Exact,"3333 BURNET AVE, CINCINNATI, OH, 45229","-84.500436044145,39.141244472964",-84.50043604,39.14124447,103925697,L,39,61,3200,1000
6320350,"8600 Old Georgetown Rd, Bethesda, MD, 20814",Match,Exact,"8600 OLD GEORGETOWN RD, BETHESDA, MD, 20814","-77.109272039295,38.996816879138",-77.10927204,38.99681688,640330920,R,24,31,704600,1007
6232970,"1 Guthrie Sq, Sayre, PA, 18840",No_Match,,,,-76.5208075,41.9805889,,,,,,
6432060,"1000 N Westmoreland Rd, Lake Forest, IL, 60045",Match,Exact,"1000 N WESTMORELAND RD, LAKE FOREST, IL, 60045","-87.864262632914,42.257862115837",-87.86426263,42.25786212,119733610,R,17,97,863500,3022
6230550,"100 North Academy Ave, Danville, PA, 17822",Match,Exact,"100 N ACADEMY AVE, DANVILLE, PA, 17822","-76.6014114709,40.968387146288",-76.60141147,40.96838715,59200074,R,42,93,50200,1055
6160100,"24 Hospital Ave, Danbury, CT, 6810",Match,Exact,"24 HOSPITAL AVE, DANBURY, CT, 06810","-73.44600973779,41.406170840493",-73.44600974,41.40617084,3232118,R,9,1,210300,3000
6432055,"5101 Willow Springs Rd, La Grange, IL, 60525",No_Match,,,,-87.8860193,41.7966188,,,,,,
6710440,"4301 W Markham St, Little Rock, AR, 72205",Match,Exact,"4301 W MARKHAM ST, LITTLE ROCK, AR, 72205","-92.319954476248,34.751480553129",-92.31995448,34.75148055,83505761,L,5,119,980200,1002
6411010,"111 S Grant Ave, Columbus, OH, 43215",Match,Exact,"111 S GRANT AVE, COLUMBUS, OH, 43215","-82.990718018491,39.961130119976",-82.99071802,39.96113012,135579747,R,39,49,4001,1021
