county_fips,n_centers,burn_beds,population_total,burn_beds_per_100k
,11,168,,0.0
01069,0,0,107040.0,0.0
01073,2,34,672265.0,5.0575293968896196
01101,0,0,228132.0,0.0
02020,0,0,290674.0,0.0
04005,0,0,144705.0,0.0
04013,1,45,4430871.0,1.0156016728990755
04019,1,35,1042393.0,3.3576587716916753
05051,0,0,100021.0,0.0
05119,1,10,398322.0,2.510531680399275
05143,0,0,247331.0,0.0
06001,0,0,1663823.0,0.0
06007,0,0,213605.0,0.0
06013,0,0,1162648.0,0.0
06019,1,10,1008280.0,0.9917879953981038
06029,1,7,906883.0,0.7718746519672328
06037,3,40,9936690.0,0.402548534773652
06039,0,0,157243.0,0.0
06053,0,0,437609.0,0.0
06059,2,15,3175227.0,0.472407169629132
06065,0,0,2429487.0,0.0
06067,2,22,1579211.0,1.3931007319477893
06071,1,14,2180563.0,0.6420360246413426
06073,1,8,3289701.0,0.24318319506848798
06075,1,16,851036.0,1.880061478010331
06077,0,0,779445.0,0.0
06083,0,0,445213.0,0.0
06085,1,8,1916831.0,0.4173555206484036
06089,0,0,181852.0,0.0
06097,0,0,488436.0,0.0
06099,0,0,552063.0,0.0
06111,0,0,842009.0,0.0
08001,2,22,520149.0,4.229557299927521
08005,1,20,654453.0,3.0559872137494977
08013,0,0,328658.0,0.0
08031,0,0,710800.0,0.0
08035,0,0,360206.0,0.0
08041,0,0,730323.0,0.0
08059,0,0,580519.0,0.0
08077,0,0,156131.0,0.0
09001,1,9,,0.0
09003,0,0,,0.0
09009,0,0,,0.0
10003,0,0,570567.0,0.0
11001,2,41,670587.0,6.114046350436259
12001,1,27,279729.0,9.652199092693285
12005,0,0,181055.0,0.0
12009,0,0,610723.0,0.0
12011,0,0,1940907.0,0.0
12019,0,0,219650.0,0.0
12031,0,0,995708.0,0.0
12033,0,0,321296.0,0.0
12057,0,0,1468560.0,0.0
12071,0,0,772902.0,0.0
12073,0,0,294128.0,0.0
12081,1,12,405069.0,2.9624582478540695
12083,0,0,378225.0,0.0
12086,1,0,2688237.0,0.0
12091,0,0,212021.0,0.0
12095,1,10,1427403.0,0.7005729986556004
12097,0,0,393745.0,0.0
12099,0,0,1494805.0,0.0
12101,0,0,569211.0,0.0
12103,0,0,959918.0,0.0
12105,0,0,736229.0,0.0
12111,0,0,334682.0,0.0
12115,0,0,439392.0,0.0
12117,0,0,471321.0,0.0
