tract_geoid,state_fips,county_fips,travel_minutes,population_total,travel_minutes_ground,scenario
01001020100,01,01001,2973.193613941313,1865,2973.193613941313,ground_only
01001020200,01,01001,2975.545484378047,1861,2975.545484378047,ground_only
01001020300,01,01001,2977.061458461483,3492,2977.061458461483,ground_only
01001020400,01,01001,2978.849927574837,3987,2978.849927574837,ground_only
01001020501,01,01001,2981.9656657495084,4121,2981.9656657495084,ground_only
01001020502,01,01001,2981.9767629706485,3256,2981.9767629706485,ground_only
01001020503,01,01001,2980.978899424523,3513,2980.978899424523,ground_only
01001020600,01,01001,2975.7029235349505,3839,2975.7029235349505,ground_only
01001020700,01,01001,2980.069605304884,3369,2980.069605304884,ground_only
01001020801,01,01001,2970.5727096186342,3166,2970.5727096186342,ground_only
01001020803,01,01001,2965.8413007330096,4543,2965.8413007330096,ground_only
01001020804,01,01001,2977.189785581172,5497,2977.189785581172,ground_only
01001020805,01,01001,2978.5130087098346,2550,2978.5130087098346,ground_only
01001020901,01,01001,2973.2683032441887,4034,2973.2683032441887,ground_only
01001020902,01,01001,2961.404629949485,2781,2961.404629949485,ground_only
01001021000,01,01001,2940.6170379753353,2902,2940.6170379753353,ground_only
01001021100,01,01001,2946.3091110486594,3985,2946.3091110486594,ground_only
01003010100,01,01003,2860.335401003423,3628,2860.335401003423,ground_only
01003010200,01,01003,2878.030005051534,2955,2878.030005051534,ground_only
01003010300,01,01003,2858.3187219695164,8740,2858.3187219695164,ground_only
01003010400,01,01003,2891.80667086139,5730,2891.80667086139,ground_only
01003010500,01,01003,2868.6605910818857,5291,2868.6605910818857,ground_only
01003010600,01,01003,2870.495748481187,3748,2870.495748481187,ground_only
01003010704,01,01003,2864.189551633367,5550,2864.189551633367,ground_only
01003010706,01,01003,2862.865939641406,4211,2862.865939641406,ground_only
01003010707,01,01003,2853.1106044493267,5985,2853.1106044493267,ground_only
01003010708,01,01003,2869.2498090193794,11526,2869.2498090193794,ground_only
01003010709,01,01003,2871.740508759502,11981,2871.740508759502,ground_only
01003010710,01,01003,2855.4193575937466,6227,2855.4193575937466,ground_only
01003010711,01,01003,2862.68688885423,3890,2862.68688885423,ground_only
01003010800,01,01003,2864.0786392001237,7610,2864.0786392001237,ground_only
01003010903,01,01003,2877.6302545768617,7658,2877.6302545768617,ground_only
01003010904,01,01003,2903.0770790753436,6919,2903.0770790753436,ground_only
01003010906,01,01003,2889.8713388071487,4663,2889.8713388071487,ground_only
01003010907,01,01003,2880.9542008938492,4544,2880.9542008938492,ground_only
01003010908,01,01003,2885.8538191749335,5094,2885.8538191749335,ground_only
01003011000,01,01003,2893.6480888536794,5522,2893.6480888536794,ground_only
01003011102,01,01003,2875.8656732176178,5703,2875.8656732176178,ground_only
01003011103,01,01003,2874.9496098691648,3545,2874.9496098691648,ground_only
01003011104,01,01003,2873.0898718001185,7302,2873.0898718001185,ground_only
01003011201,01,01003,2866.9578712333896,4449,2866.9578712333896,ground_only
01003011202,01,01003,2866.749115145824,6095,2866.749115145824,ground_only
01003011300,01,01003,2872.411158097614,5411,2872.411158097614,ground_only
01003011409,01,01003,2885.7347172372224,5945,2885.7347172372224,ground_only
01003011410,01,01003,2887.105968538559,8096,2887.105968538559,ground_only
01003011411,01,01003,2906.259486067971,5727,2906.259486067971,ground_only
01003011412,01,01003,2896.308987251178,3578,2896.308987251178,ground_only
01003011413,01,01003,2902.20214093612,4160,2902.20214093612,ground_only
01003011414,01,01003,2916.004157069934,3654,2916.004157069934,ground_only
01003011415,01,01003,2919.5144403482395,1805,2919.5144403482395,ground_only
01003011416,01,01003,2891.0692421386516,1752,2891.0692421386516,ground_only
01003011417,01,01003,2909.3653148996577,2296,2909.3653148996577,ground_only
01003011418,01,01003,2905.0639719780233,1724,2905.0639719780233,ground_only
01003011419,01,01003,2873.637439505595,5210,2873.637439505595,ground_only
01003011501,01,01003,2895.3944229372983,7825,2895.3944229372983,ground_only
01003011503,01,01003,2895.5491798299604,8252,2895.5491798299604,ground_only
01003011504,01,01003,2901.955310750134,7050,2901.955310750134,ground_only
01003011601,01,01003,2910.5588595769414,5753,2910.5588595769414,ground_only
01003011603,01,01003,2924.4498415868597,3703,2924.4498415868597,ground_only
01003011604,01,01003,2919.949650052747,2913,2919.949650052747,ground_only
01003990000,01,01003,2875.447687099366,0,2875.447687099366,ground_only
01005950100,01,01005,3128.0929804436537,2789,3128.0929804436537,ground_only
01005950200,01,01005,3107.705670030276,3634,3107.705670030276,ground_only
01005950300,01,01005,3097.7020763019677,1479,3097.7020763019677,ground_only
01005950400,01,01005,3101.8850205310496,4009,3101.8850205310496,ground_only
01005950500,01,01005,3132.6439061399515,2821,3132.6439061399515,ground_only
01005950600,01,01005,3129.368827274161,1859,3129.368827274161,ground_only
01005950700,01,01005,3128.8534747672074,1676,3128.8534747672074,ground_only
01005950800,01,01005,3139.4963692757465,2232,3139.4963692757465,ground_only
01005950900,01,01005,3144.0546704352464,4378,3144.0546704352464,ground_only
01007010001,01,01007,2881.8454398904605,2524,2881.8454398904605,ground_only
01007010005,01,01007,2883.5383743768602,4750,2883.5383743768602,ground_only
01007010006,01,01007,2890.36998288618,1662,2890.36998288618,ground_only
01007010007,01,01007,2911.6282701980062,2243,2911.6282701980062,ground_only
01007010008,01,01007,2900.264639967551,2668,2900.264639967551,ground_only
01007010009,01,01007,2883.2825170187766,2762,2883.2825170187766,ground_only
01007010010,01,01007,2882.2396600778748,2684,2882.2396600778748,ground_only
01007010011,01,01007,2867.099858356938,2958,2867.099858356938,ground_only
01009050103,01,01009,2945.1759943797174,2223,2945.1759943797174,ground_only
01009050104,01,01009,2939.071481605252,3012,2939.071481605252,ground_only
01009050105,01,01009,2955.480905769544,4961,2955.480905769544,ground_only
01009050106,01,01009,2948.3023841600198,2814,2948.3023841600198,ground_only
01009050107,01,01009,2956.4128325940123,2550,2956.4128325940123,ground_only
01009050200,01,01009,2939.061708430792,4097,2939.061708430792,ground_only
01009050301,01,01009,2959.0422722985095,3041,2959.0422722985095,ground_only
01009050302,01,01009,2956.6733585599673,2541,2956.6733585599673,ground_only
01009050400,01,01009,2942.206655326323,4177,2942.206655326323,ground_only
01009050501,01,01009,2930.587607595567,3919,2930.587607595567,ground_only
01009050502,01,01009,2923.046822831171,3575,2923.046822831171,ground_only
01009050601,01,01009,2900.7915316686085,3923,2900.7915316686085,ground_only
01009050603,01,01009,2918.0856027698683,4156,2918.0856027698683,ground_only
01009050604,01,01009,2911.978998941216,5797,2911.978998941216,ground_only
01009050701,01,01009,2932.1475976537627,5628,2932.1475976537627,ground_only
01009050702,01,01009,2925.5370186777327,2663,2925.5370186777327,ground_only
01011952100,01,01011,3093.7292927906183,1707,3093.7292927906183,ground_only
01011952201,01,01011,3063.2265258221128,2437,3063.2265258221128,ground_only
01011952202,01,01011,3078.946817592142,4133,3078.946817592142,ground_only
01011952500,01,01011,3059.7918388960065,2051,3059.7918388960065,ground_only
01013952700,01,01013,2976.2593916074716,2110,2976.2593916074716,ground_only
01013952800,01,01013,2973.508822124391,1395,2973.508822124391,ground_only
01013952900,01,01013,2967.6627461692738,2181,2967.6627461692738,ground_only
01013953000,01,01013,2957.514647688049,1141,2957.514647688049,ground_only
01013953100,01,01013,2971.611946589254,2656,2971.611946589254,ground_only
01013953200,01,01013,2987.4110431744275,3757,2987.4110431744275,ground_only
01013953300,01,01013,2962.3422111284526,1589,2962.3422111284526,ground_only
01013953400,01,01013,2958.219178469441,2652,2958.219178469441,ground_only
01013953500,01,01013,2983.0700293334676,1500,2983.0700293334676,ground_only
01015000200,01,01015,3027.468973191047,2540,3027.468973191047,ground_only
01015000300,01,01015,3025.733535793719,2402,3025.733535793719,ground_only
01015000400,01,01015,3021.346640988027,2563,3021.346640988027,ground_only
01015000500,01,01015,3024.3573016356263,1019,3024.3573016356263,ground_only
01015000600,01,01015,3025.157724866533,1869,3025.157724866533,ground_only
01015000700,01,01015,3029.743806085629,2784,3029.743806085629,ground_only
01015000800,01,01015,3026.7290817323465,1281,3026.7290817323465,ground_only
01015000900,01,01015,3030.2470359798876,3712,3030.2470359798876,ground_only
01015001000,01,01015,3031.152852686265,5834,3031.152852686265,ground_only
01015001101,01,01015,3034.2884941026364,2185,3034.2884941026364,ground_only
01015001102,01,01015,3029.0702454517204,1291,3029.0702454517204,ground_only
01015001103,01,01015,3028.7750513743144,4146,3028.7750513743144,ground_only
01015001201,01,01015,3024.5324300414395,3064,3024.5324300414395,ground_only
01015001202,01,01015,3021.3897278065474,4311,3021.3897278065474,ground_only
01015001300,01,01015,3021.4454686675062,1981,3021.4454686675062,ground_only
01015001400,01,01015,3019.313167108162,3220,3019.313167108162,ground_only
01015001501,01,01015,3015.505353571343,3451,3015.505353571343,ground_only
01015001502,01,01015,3004.6689991325643,1760,3004.6689991325643,ground_only
01015001600,01,01015,3021.6445751913593,3332,3021.6445751913593,ground_only
01015001700,01,01015,3023.393095873486,6135,3023.393095873486,ground_only
01015001801,01,01015,3031.7402425077503,2348,3031.7402425077503,ground_only
01015001802,01,01015,3025.2139360144142,4927,3025.2139360144142,ground_only
01015002001,01,01015,3045.826786574078,2763,3045.826786574078,ground_only
01015002002,01,01015,3039.0963156646744,4409,3039.0963156646744,ground_only
01015002101,01,01015,3029.8971823071574,4184,3029.8971823071574,ground_only
01015002102,01,01015,3033.948759460498,3999,3033.948759460498,ground_only
01015002104,01,01015,3030.036690320518,4057,3030.036690320518,ground_only
01015002105,01,01015,3035.007526265981,2891,3035.007526265981,ground_only
01015002200,01,01015,3049.011644514434,3674,3049.011644514434,ground_only
01015002300,01,01015,3039.979908101564,3704,3039.979908101564,ground_only
01015002400,01,01015,3029.182513241479,4130,3029.182513241479,ground_only
01015002502,01,01015,3016.084046807146,4276,3016.084046807146,ground_only
01015002503,01,01015,3019.545685786616,3501,3019.545685786616,ground_only
01015002504,01,01015,3012.614923318461,3790,3012.614923318461,ground_only
01015002600,01,01015,3000.6059423426436,4629,3000.6059423426436,ground_only
01015981901,01,01015,3010.3984844209845,0,3010.3984844209845,ground_only
01015981902,01,01015,3011.1431033451986,0,3011.1431033451986,ground_only
01015981903,01,01015,3034.535181377026,0,3034.535181377026,ground_only
01017953800,01,01017,3088.7903187474512,3696,3088.7903187474512,ground_only
01017953900,01,01017,3104.2777959359887,3399,3104.2777959359887,ground_only
01017954001,01,01017,3076.738117604865,2151,3076.738117604865,ground_only
01017954002,01,01017,3092.0156298673837,3999,3092.0156298673837,ground_only
01017954200,01,01017,3106.636569385592,3759,3106.636569385592,ground_only
01017954300,01,01017,3107.2409918079243,4830,3107.2409918079243,ground_only
01017954600,01,01017,3117.5809175051822,3656,3117.5809175051822,ground_only
01017954700,01,01017,3118.8089632624897,4619,3118.8089632624897,ground_only
01017954800,01,01017,3113.081121366405,4503,3113.081121366405,ground_only
01019955701,01,01019,3053.471277198708,2993,3053.471277198708,ground_only
01019955702,01,01019,3045.9877102266014,4099,3045.9877102266014,ground_only
01019955801,01,01019,3025.8169474354927,2232,3025.8169474354927,ground_only
01019955802,01,01019,3030.695634353293,2859,3030.695634353293,ground_only
01019955900,01,01019,3037.2924472473483,4212,3037.2924472473483,ground_only
01019956000,01,01019,3038.7173785649143,4576,3038.7173785649143,ground_only
01019956101,01,01019,3060.4831540534797,1724,3060.4831540534797,ground_only
01019956102,01,01019,3054.0578312963967,2374,3054.0578312963967,ground_only
01021060101,01,01021,2948.4941473564277,4612,2948.4941473564277,ground_only
01021060103,01,01021,2943.7730394847767,3338,2943.7730394847767,ground_only
01021060104,01,01021,2950.6494153577823,3192,2950.6494153577823,ground_only
01021060200,01,01021,2958.250528384675,3343,2958.250528384675,ground_only
01021060300,01,01021,2949.373808291463,3710,2949.373808291463,ground_only
01021060401,01,01021,2936.2768811740966,5284,2936.2768811740966,ground_only
01021060403,01,01021,2930.94907992829,3075,2930.94907992829,ground_only
01021060404,01,01021,2922.9821131862864,5972,2922.9821131862864,ground_only
01021060500,01,01021,2920.1510504451726,3733,2920.1510504451726,ground_only
01021060600,01,01021,2938.445496477656,3625,2938.445496477656,ground_only
01021060701,01,01021,2954.5335058281494,2358,2954.5335058281494,ground_only
01021060702,01,01021,2970.0214549619386,2898,2970.0214549619386,ground_only
01023956700,01,01023,2778.656827401792,2910,2778.656827401792,ground_only
01023956800,01,01023,2784.0279249448586,4520,2784.0279249448586,ground_only
01023956900,01,01023,2771.9578925559117,3075,2771.9578925559117,ground_only
01023957000,01,01023,2781.7265501205793,2164,2781.7265501205793,ground_only
01025957500,01,01025,2857.2093977939744,1667,2857.2093977939744,ground_only
01025957601,01,01025,2825.8225328019057,972,2825.8225328019057,ground_only
01025957603,01,01025,2842.2749413060933,1795,2842.2749413060933,ground_only
01025957604,01,01025,2847.9073329873436,2325,2847.9073329873436,ground_only
01025957700,01,01025,2807.8257410794436,1277,2807.8257410794436,ground_only
01025957800,01,01025,2855.625441885377,4655,2855.625441885377,ground_only
01025957901,01,01025,2824.6819495702252,3393,2824.6819495702252,ground_only
01025957902,01,01025,2838.7060195900485,3489,2838.7060195900485,ground_only
01025958003,01,01025,2847.927937206107,3485,2847.927937206107,ground_only
01027958900,01,01027,3037.8742073271997,5601,3037.8742073271997,ground_only
01027959000,01,01027,3026.2928077570323,3103,3026.2928077570323,ground_only
01027959100,01,01027,3040.34727545897,3011,3040.34727545897,ground_only
01027959200,01,01027,3012.711310060727,2494,3012.711310060727,ground_only
01029959500,01,01029,3064.6234514035004,2865,3064.6234514035004,ground_only
01029959600,01,01029,3055.0508933030974,4183,3055.0508933030974,ground_only
01029959700,01,01029,3049.353718762541,3400,3049.353718762541,ground_only
01029959800,01,01029,3077.470898904068,4696,3077.470898904068,ground_only
01031010100,01,01031,3047.4311829169746,2170,3047.4311829169746,ground_only
01031010200,01,01031,3066.4603086786715,1808,3066.4603086786715,ground_only
01031010300,01,01031,3073.163901704905,4532,3073.163901704905,ground_only
01031010400,01,01031,3055.7403996350613,1648,3055.7403996350613,ground_only
01031010500,01,01031,3039.9775211307524,4815,3039.9775211307524,ground_only
01031010600,01,01031,3045.087223755313,1646,3045.087223755313,ground_only
01031010700,01,01031,3059.7159699421704,2397,3059.7159699421704,ground_only
01031010800,01,01031,3079.205252820916,3419,3079.205252820916,ground_only
01031010900,01,01031,3076.7015946050406,2780,3076.7015946050406,ground_only
01031011000,01,01031,3073.736323965662,4155,3073.736323965662,ground_only
01031011100,01,01031,3077.997086104829,2414,3077.997086104829,ground_only
01031011203,01,01031,3077.2288491349286,5551,3077.2288491349286,ground_only
01031011204,01,01031,3080.2770827267295,3755,3080.2770827267295,ground_only
01031011205,01,01031,3082.6097551094576,3608,3082.6097551094576,ground_only
01031011206,01,01031,3083.3081184499592,4414,3083.3081184499592,ground_only
01031011300,01,01031,3082.167850535822,4447,3082.167850535822,ground_only
01033020100,01,01033,2800.790037010077,3485,2800.790037010077,ground_only
01033020200,01,01033,2798.3682473722533,1903,2798.3682473722533,ground_only
01033020300,01,01033,2798.8818802632945,2135,2798.8818802632945,ground_only
01033020400,01,01033,2794.894857366633,1810,2794.894857366633,ground_only
01033020500,01,01033,2796.1823025258955,5658,2796.1823025258955,ground_only
01033020600,01,01033,2801.3930118419244,4918,2801.3930118419244,ground_only
01033020703,01,01033,2805.5507044888,6902,2805.5507044888,ground_only
01033020704,01,01033,2802.5564505270827,4314,2802.5564505270827,ground_only
01033020705,01,01033,2808.69438524892,1078,2808.69438524892,ground_only
01033020706,01,01033,2807.722512847432,5699,2807.722512847432,ground_only
01033020801,01,01033,2820.6641575854187,4388,2820.6641575854187,ground_only
01033020802,01,01033,2815.7496437711243,3276,2815.7496437711243,ground_only
01033020901,01,01033,2800.730025544186,4484,2800.730025544186,ground_only
01033020902,01,01033,2785.3228029819593,3405,2785.3228029819593,ground_only
01033021000,01,01033,2763.2143962617265,3815,2763.2143962617265,ground_only
01035960200,01,01035,2937.5751824239796,1665,2937.5751824239796,ground_only
01035960300,01,01035,2915.916986472844,1862,2915.916986472844,ground_only
01035960400,01,01035,2940.0454045685888,2495,2940.0454045685888,ground_only
01035960500,01,01035,2941.1270936010474,1608,2941.1270936010474,ground_only
01035960600,01,01035,2964.4273566309184,3946,2964.4273566309184,ground_only
01037961000,01,01037,3010.332555898449,3157,3010.332555898449,ground_only
01037961100,01,01037,2982.074888301748,3664,2982.074888301748,ground_only
01037961200,01,01037,2998.52932707014,3508,2998.52932707014,ground_only
01039961600,01,01039,3011.1202097256196,4983,3011.1202097256196,ground_only
01039961700,01,01039,2988.0648200718965,3209,2988.0648200718965,ground_only
01039961800,01,01039,3004.1498317399128,3135,3004.1498317399128,ground_only
01039961900,01,01039,3008.8868269139516,2276,3008.8868269139516,ground_only
01039962000,01,01039,3006.519992373592,3777,3006.519992373592,ground_only
01039962100,01,01039,3002.102870508482,1756,3002.102870508482,ground_only
01039962300,01,01039,3018.643717459804,3227,3018.643717459804,ground_only
01039962400,01,01039,3032.159930886213,3500,3032.159930886213,ground_only
01039962500,01,01039,3030.0223665014487,1540,3030.0223665014487,ground_only
01039962600,01,01039,3030.040554578773,1385,3030.040554578773,ground_only
01039962700,01,01039,3035.2952783345995,1802,3035.2952783345995,ground_only
01039962800,01,01039,3033.0269931627895,1607,3033.0269931627895,ground_only
01039962900,01,01039,2999.1450675096507,2020,2999.1450675096507,ground_only
01039963000,01,01039,3028.3143513752184,3325,3028.3143513752184,ground_only
01041963400,01,01041,3014.5118511130386,2068,3014.5118511130386,ground_only
01041963500,01,01041,3001.0089894139037,2114,3001.0089894139037,ground_only
01041963600,01,01041,3007.5919959259295,2618,3007.5919959259295,ground_only
01041963700,01,01041,3022.892452934134,3449,3022.892452934134,ground_only
01041963800,01,01041,3008.572839492115,1416,3008.572839492115,ground_only
01041963900,01,01041,3029.8507442246264,1540,3029.8507442246264,ground_only
01043964100,01,01043,2932.868106117658,6542,2932.868106117658,ground_only
01043964201,01,01043,2916.434329269781,3751,2916.434329269781,ground_only
01043964202,01,01043,2913.5079062078016,3908,2913.5079062078016,ground_only
01043964300,01,01043,2902.2866731122767,5101,2902.2866731122767,ground_only
01043964400,01,01043,2889.975560016867,4051,2889.975560016867,ground_only
01043964500,01,01043,2875.905557961031,4694,2875.905557961031,ground_only
01043964600,01,01043,2889.6116102394526,3999,2889.6116102394526,ground_only
01043964700,01,01043,2896.8722616060736,5703,2896.8722616060736,ground_only
01043964800,01,01043,2900.035655638744,4510,2900.035655638744,ground_only
01043964901,01,01043,2906.890233656469,3787,2906.890233656469,ground_only
01043964902,01,01043,2903.073206118501,3547,2903.073206118501,ground_only
01043965001,01,01043,2905.571573297834,3493,2905.571573297834,ground_only
01043965002,01,01043,2901.860483425968,4336,2901.860483425968,ground_only
01043965100,01,01043,2908.5574628760082,4231,2908.5574628760082,ground_only
01043965200,01,01043,2915.8784486300856,2306,2915.8784486300856,ground_only
01043965300,01,01043,2926.322548440022,4887,2926.322548440022,ground_only
01043965401,01,01043,2907.685095966564,3238,2907.685095966564,ground_only
01043965402,01,01043,2911.209720373641,4814,2911.209720373641,ground_only
01043965501,01,01043,2896.7981460846013,1762,2896.7981460846013,ground_only
01043965502,01,01043,2892.3358852225624,3921,2892.3358852225624,ground_only
01043965600,01,01043,2879.6827798377694,2820,2879.6827798377694,ground_only
01043965700,01,01043,2886.618831547867,2883,2886.618831547867,ground_only
01045020000,01,01045,3087.8851754200537,5422,3087.8851754200537,ground_only
01045020100,01,01045,3094.057589043055,3474,3094.057589043055,ground_only
01045020200,01,01045,3118.476486587536,2032,3118.476486587536,ground_only
01045020300,01,01045,3108.204473831896,2472,3108.204473831896,ground_only
01045020400,01,01045,3096.856124183558,2325,3096.856124183558,ground_only
01045020500,01,01045,3101.4192235809574,1647,3101.4192235809574,ground_only
01045020700,01,01045,3099.039337494649,2919,3099.039337494649,ground_only
01045020801,01,01045,3098.018799919269,3283,3098.018799919269,ground_only
01045020802,01,01045,3099.83710057909,4600,3099.83710057909,ground_only
01045021101,01,01045,3088.077112991365,4743,3088.077112991365,ground_only
01045021102,01,01045,3095.728507731226,3876,3095.728507731226,ground_only
01045021200,01,01045,3093.9003608601097,2521,3093.9003608601097,ground_only
01045021300,01,01045,3110.8098109094094,4715,3110.8098109094094,ground_only
01045021400,01,01045,3122.5021732584046,5426,3122.5021732584046,ground_only
01047956101,01,01047,2922.9524965964383,3552,2922.9524965964383,ground_only
01047956102,01,01047,2917.0892238071824,2832,2917.0892238071824,ground_only
01047956201,01,01047,2902.5359283196794,2053,2902.5359283196794,ground_only
01047956202,01,01047,2908.7218146681566,2557,2908.7218146681566,ground_only
01047956300,01,01047,2909.284003412387,4153,2909.284003412387,ground_only
01047956400,01,01047,2913.8699871429126,2614,2913.8699871429126,ground_only
01047956500,01,01047,2915.988200712339,2524,2915.988200712339,ground_only
01047956600,01,01047,2912.693105582906,2229,2912.693105582906,ground_only
01047956701,01,01047,2907.9228914319383,2195,2907.9228914319383,ground_only
01047956702,01,01047,2910.3949723396204,1930,2910.3949723396204,ground_only
01047956800,01,01047,2909.1663486899583,2100,2909.1663486899583,ground_only
01047956900,01,01047,2892.569264754139,2263,2892.569264754139,ground_only
01047957000,01,01047,2916.382738387838,947,2916.382738387838,ground_only
01047957100,01,01047,2916.756404456219,1483,2916.756404456219,ground_only
01047957200,01,01047,2914.064360128735,1553,2914.064360128735,ground_only
01047957301,01,01047,2919.2368179762507,2299,2919.2368179762507,ground_only
01047957302,01,01047,2932.2272249988655,1042,2932.2272249988655,ground_only
01049960101,01,01049,3036.1381299901072,1803,3036.1381299901072,ground_only
01049960102,01,01049,3032.180690472162,3694,3032.180690472162,ground_only
01049960200,01,01049,3025.5569384847345,3575,3025.5569384847345,ground_only
01049960301,01,01049,3015.3085125935136,771,3015.3085125935136,ground_only
01049960302,01,01049,3005.607593296012,1462,3005.607593296012,ground_only
01049960303,01,01049,3010.2817442102732,4669,3010.2817442102732,ground_only
01049960401,01,01049,3023.553730320093,1194,3023.553730320093,ground_only
01049960402,01,01049,3017.1748687210797,5356,3017.1748687210797,ground_only
01049960500,01,01049,2999.367029098376,6236,2999.367029098376,ground_only
01049960601,01,01049,3005.949256075502,1164,3005.949256075502,ground_only
01049960602,01,01049,2992.6195799649945,4723,2992.6195799649945,ground_only
01049960701,01,01049,2996.4174542153096,2341,2996.4174542153096,ground_only
01049960702,01,01049,2999.2882092409272,1572,2999.2882092409272,ground_only
01049960703,01,01049,2993.070614969936,4537,2993.070614969936,ground_only
01049960800,01,01049,3009.5065846784937,4455,3009.5065846784937,ground_only
01049960900,01,01049,3019.404793956968,3919,3019.404793956968,ground_only
01049961000,01,01049,3031.29059786868,5260,3031.29059786868,ground_only
01049961100,01,01049,3024.5515007932377,3292,3024.5515007932377,ground_only
01049961200,01,01049,3029.248710010463,2319,3029.248710010463,ground_only
01049961300,01,01049,3037.1828156915763,5676,3037.1828156915763,ground_only
01049961400,01,01049,3041.5373821311355,3662,3041.5373821311355,ground_only
01051030101,01,01051,2982.0852232938364,3794,2982.0852232938364,ground_only
01051030102,01,01051,2991.5577485583844,1833,2991.5577485583844,ground_only
01051030103,01,01051,2984.77691725421,4700,2984.77691725421,ground_only
01051030200,01,01051,2999.502107414236,5223,2999.502107414236,ground_only
01051030300,01,01051,3028.6899286056714,2522,3028.6899286056714,ground_only
01051030401,01,01051,3030.251151468182,3638,3030.251151468182,ground_only
01051030402,01,01051,3035.4596470821057,4380,3035.4596470821057,ground_only
01051030500,01,01051,3022.562388515323,5090,3022.562388515323,ground_only
01051030600,01,01051,3007.3295318735154,6981,3007.3295318735154,ground_only
01051030701,01,01051,3015.284117058139,8502,3015.284117058139,ground_only
01051030702,01,01051,3009.2273388901594,3690,3009.2273388901594,ground_only
01051030801,01,01051,3004.4119367551107,2867,3004.4119367551107,ground_only
01051030802,01,01051,2999.3322538796756,4139,2999.3322538796756,ground_only
01051030901,01,01051,2985.008177888495,7217,2985.008177888495,ground_only
01051030902,01,01051,2990.0370814933945,4321,2990.0370814933945,ground_only
01051031001,01,01051,2985.7653815645226,4368,2985.7653815645226,ground_only
01051031002,01,01051,2983.699706741075,3780,2983.699706741075,ground_only
01051031100,01,01051,2988.1671636770106,4269,2988.1671636770106,ground_only
01051031200,01,01051,2993.273123638243,1622,2993.273123638243,ground_only
01051031300,01,01051,2988.374256344989,4758,2988.374256344989,ground_only
01053969801,01,01053,2970.5082753037655,1106,2970.5082753037655,ground_only
01053969802,01,01053,2958.62179982466,4897,2958.62179982466,ground_only
01053969900,01,01053,2931.6860809149875,3992,2931.6860809149875,ground_only
01053970100,01,01053,2941.190457156984,4762,2941.190457156984,ground_only
01053970200,01,01053,2944.109454024322,1420,2944.109454024322,ground_only
01053970300,01,01053,2919.2329778929034,3537,2919.2329778929034,ground_only
01053970400,01,01053,2894.803942581837,5433,2894.803942581837,ground_only
01053970500,01,01053,2895.810767606477,4299,2895.810767606477,ground_only
01053970600,01,01053,2905.846585950085,3739,2905.846585950085,ground_only
01053970700,01,01053,2904.021834666107,3570,2904.021834666107,ground_only
01055000200,01,01055,3003.8383790985868,3259,3003.8383790985868,ground_only
01055000300,01,01055,3000.2705937810697,2318,3000.2705937810697,ground_only
01055000400,01,01055,2996.8190021332844,3747,2996.8190021332844,ground_only
01055000500,01,01055,2995.554110136096,1693,2995.554110136096,ground_only
01055000600,01,01055,2994.2052449289795,2340,2994.2052449289795,ground_only
01055000700,01,01055,2996.581945679918,1042,2996.581945679918,ground_only
01055000800,01,01055,2998.3555697737947,1094,2998.3555697737947,ground_only
01055000900,01,01055,2996.5118684364406,2451,2996.5118684364406,ground_only
01055001000,01,01055,2998.6386687955746,1138,2998.6386687955746,ground_only
01055001100,01,01055,3002.396908940169,5347,3002.396908940169,ground_only
01055001200,01,01055,3000.2456702585623,2673,3000.2456702585623,ground_only
01055001300,01,01055,3002.842253933405,2692,3002.842253933405,ground_only
01055001600,01,01055,3004.308971711119,2885,3004.308971711119,ground_only
01055001700,01,01055,3007.1851117648102,1348,3007.1851117648102,ground_only
01055010100,01,01055,2992.9251849288635,2201,2992.9251849288635,ground_only
01055010201,01,01055,2990.7213494746616,2246,2990.7213494746616,ground_only
01055010202,01,01055,2987.37613218194,2885,2987.37613218194,ground_only
01055010300,01,01055,2984.353729417365,2888,2984.353729417365,ground_only
01055010401,01,01055,2997.1347572440172,4505,2997.1347572440172,ground_only
01055010402,01,01055,2991.566083438625,5046,2991.566083438625,ground_only
01055010503,01,01055,3000.945363355105,4405,3000.945363355105,ground_only
01055010504,01,01055,2997.8296192499956,4749,2997.8296192499956,ground_only
01055010505,01,01055,3013.235982806219,2284,3013.235982806219,ground_only
01055010506,01,01055,3007.562696971334,2495,3007.562696971334,ground_only
01055010601,01,01055,3016.962611442992,6033,3016.962611442992,ground_only
01055010602,01,01055,3023.8404940363043,3870,3023.8404940363043,ground_only
01055010700,01,01055,3011.9449332378263,3665,3011.9449332378263,ground_only
