GEOID,bei,bei_percentile,t_score,s_score,p_score,c_score,is_rural,total_pop,hotspot_tier,driver_breakdown
27155460200,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,1271,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27089080200,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,2258,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27069090100,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,2357,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27073180100,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,2224,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27073180200,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,1659,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27101900100,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,1904,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27083360600,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,2702,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27083360700,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,2028,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27011950100,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,1368,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27011950200,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,1667,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27057070100,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,5135,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27057070300,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,1982,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27057070200,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,2430,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27029000300,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,3123,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27029000100,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,2447,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27005450100,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,3222,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27005940000,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,4159,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27119021000,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,3291,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27173970200,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,2183,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
27125010100,100.0,99.1029900332226,1.0,1.0,1.0,1.0,True,1844,high,supply=1.00;access=1.00;peds=1.00;capacity=1.00
